Index,AI0(V)
1173,-0.12282
1174,-0.1285
1175,-0.12736
1176,-0.12112
1177,-0.12837
1178,-0.12812
1179,-0.12395
1180,-0.12534
1181,-0.12414
1182,-0.12925
1183,-0.1261
1184,-0.13007
1185,-0.1273
1186,-0.12705
1187,-0.12168
1188,-0.12358
1189,-0.12402
1190,-0.12654
1191,-0.12862
1192,-0.12686
1193,-0.12313
1194,-0.12976
1195,-0.12528
1196,-0.12711
1197,-0.12818
1198,-0.12515
1199,-0.1273
1200,-0.1256
1201,-0.12269
1202,-0.1266
1203,-0.12724
1204,-0.12862
1205,-0.12465
1206,-0.12162
1207,-0.12919
1208,-0.13052
1209,-0.12989
1210,-0.12774
1211,-0.12894
1212,-0.12143
1213,-0.12093
1214,-0.12187
1215,-0.1244
1216,-0.12553
1217,-0.12736
1218,-0.12484
1219,-0.12459
1220,-0.12642
1221,-0.12673
1222,-0.12698
1223,-0.12705
1224,-0.12907
1225,-0.12452
1226,-0.12446
1227,-0.12736
1228,-0.1244
1229,-0.1266
1230,-0.12692
1231,-0.12806
1232,-0.12837
1233,-0.12187
1234,-0.12515
1235,-0.12679
1236,-0.12553
1237,-0.12742
1238,-0.12724
1239,-0.12869
1240,-0.12761
1241,-0.12837
1242,-0.12654
1243,-0.12831
1244,-0.12597
1245,-0.12389
1246,-0.12673
1247,-0.13342
1248,-0.1232
1249,-0.12578
1250,-0.13127
1251,-0.12623
1252,-0.12692
1253,-0.12913
1254,-0.1266
1255,-0.12875
1256,-0.1297
1257,-0.12257
1258,-0.12295
1259,-0.12572
1260,-0.13108
1261,-0.12673
1262,-0.12875
1263,-0.1266
1264,-0.12818
1265,-0.12686
1266,-0.1261
1267,-0.12692
1268,-0.12572
1269,-0.12471
1270,-0.12692
1271,-0.12288
1272,-0.12452
1273,-0.12496
1274,-0.12194
1275,-0.12339
1276,-0.12711
1277,-0.12944
1278,-0.12774
1279,-0.1249
1280,-0.12351
1281,-0.12553
1282,-0.12894
1283,-0.12231
1284,-0.12118
1285,-0.12635
1286,-0.12351
1287,-0.12572
1288,-0.12478
1289,-0.12269
1290,-0.1256
1291,-0.12654
1292,-0.12503
1293,-0.12522
1294,-0.12093
1295,-0.12648
1296,-0.12509
1297,-0.12515
1298,-0.12093
1299,-0.13279
1300,-0.12824
1301,-0.1261
1302,-0.12919
1303,-0.12585
1304,-0.12105
1305,-0.12843
1306,-0.12465
1307,-0.12465
1308,-0.12383
1309,-0.12288
1310,-0.12774
1311,-0.12635
1312,-0.12957
1313,-0.13071
1314,-0.12465
1315,-0.12793
1316,-0.12957
1317,-0.12288
1318,-0.12818
1319,-0.13026
1320,-0.13001
1321,-0.12541
1322,-0.12812
1323,-0.12326
1324,-0.12686
1325,-0.129
1326,-0.1297
1327,-0.12591
1328,-0.13285
1329,-0.12648
1330,-0.12414
1331,-0.12686
1332,-0.12395
1333,-0.12982
1334,-0.12824
1335,-0.12231
1336,-0.12528
1337,-0.12824
1338,-0.12339
1339,-0.13165
1340,-0.12616
1341,-0.12679
1342,-0.12932
1343,-0.12358
1344,-0.12951
1345,-0.12761
1346,-0.1266
1347,-0.12427
1348,-0.12597
1349,-0.12736
1350,-0.12553
1351,-0.12421
1352,-0.12295
1353,-0.12736
1354,-0.12395
1355,-0.12957
1356,-0.12484
1357,-0.12654
1358,-0.12597
1359,-0.11985
1360,-0.12377
1361,-0.12269
1362,-0.12478
1363,-0.12484
1364,-0.12768
1365,-0.12717
1366,-0.1302
1367,-0.12812
1368,-0.12351
1369,-0.12875
1370,-0.12774
1371,-0.12742
1372,-0.12654
1373,-0.13121
1374,-0.12276
1375,-0.12566
1376,-0.12667
1377,-0.12799
1378,-0.12963
1379,-0.12484
1380,-0.12446
1381,-0.12919
1382,-0.12484
1383,-0.12629
1384,-0.1266
1385,-0.12604
1386,-0.12522
1387,-0.1244
1388,-0.12667
1389,-0.12023
1390,-0.12982
1391,-0.12547
1392,-0.12856
1393,-0.1244
1394,-0.12623
1395,-0.12648
1396,-0.12673
1397,-0.1266
1398,-0.12907
1399,-0.12465
1400,-0.12963
1401,-0.12654
1402,-0.12389
1403,-0.12067
1404,-0.12736
1405,-0.12351
1406,-0.129
1407,-0.12433
1408,-0.12269
1409,-0.1261
1410,-0.12345
1411,-0.12515
1412,-0.1297
